,data
179,"Learning Out Of The Box Education CentreAddress: Blk 548 Ang Mo Kio Avenue 10 #01-2012  , Singapore 560548 Tel: 64561617		Fax: 	Email: john@learningoutofthebox.orgSupervisor: Yeo Jhong Ren		Main Curriculum: TUTORIAL"
180,"Learning Paradise Chinese Education HubAddress: Blk 265 Serangoon Central Drive #02-271  , Singapore 550265 Tel: 64831759		Fax: 	Email: Amychin3@yahoo.comSupervisor: Lee Qian-Wei, Ian		Main Curriculum: ENRICHMENT"
181,"Learning Partners Education CentreAddress: Blk 235 Yishun Street 21 #01-462  , Singapore 760235 Tel: 64840680		Fax: 64840670	Email: cheongcheong173@yahoo.com.sgSupervisor: Teo Cheong Cheong (Mdm)		Main Curriculum: TUTORIAL"
182,"Learning Point Education CentreAddress: c/o 301 Upper Thomson Road #03-19/20 Thomson Plaza , Singapore 574408 Tel: 64533323/64538318		Fax: 64513122	Email: learningpoint@pacific.net.sgSupervisor: Low Yuet Gee (Mdm)		Main Curriculum: ENRICHMENT"
183,"Learning Point Mathematics & ScienceAddress: 301 Upper Thomson Road #02-22/23 Thomson Plaza , Singapore 574408 Tel: 64533323/64523323		Fax: 64513122	Email: enquiries_thomson@learningpoint.com.sgSupervisor: Tan Yang Cheng (Mdm)		Main Curriculum: ENRICHMENT"
184,"Learning Project Education CentreAddress: 13 Yuk Tong Avenue Chun Tin Court , Singapore 596318 Tel: 64683983		Fax: 63429032	Email: Supervisor: Tan Bee Yen (Miss)		Main Curriculum: TUTORIAL"
185,"Learning Simplicity Education CentreAddress: 164B Rochor Road  , Singapore 188439 Tel: 68373202		Fax: 68373203	Email: learningsimplicity@gmail.comSupervisor: Song Boon Khing		Main Curriculum: TUTORIAL"
186,"Learning Voyage Education CentreAddress: Blk 208 Hougang Street 21 #01-209  , Singapore 530208 Tel: 90056286		Fax: 	Email: enquiries@learningvoyage.com.sgSupervisor: Woo Jia Hao		Main Curriculum: TUTORIAL"
187,"LearningMax Education CentreAddress: Blk 452 Ang Mo Kio Aveue 10 #01-1793  , Singapore 560452 Tel: 65533647		Fax: 64583600	Email: Supervisor: Khoo Han Kiang, Darren		Main Curriculum: TUTORIAL"
188,"Learnjoy Education CentreAddress: Blk 509 Bedok North Street 3 #01-115  , Singapore 460509 Tel: 62033105		Fax: 	Email: Youquan5@gmail.comSupervisor: Lim You Quan, Vincent		Main Curriculum: TUTORIAL"
189,"Lejour Education CentreAddress: Blk 822 Tampines Street 81 #01-186 (2nd Storey)  , Singapore 520822 Tel: 98371898		Fax: 	Email: support@lejoureducation.comSupervisor: Tan Ze Feng, Willy		Main Curriculum: TUTORIAL"
190,"Leow's Training CentreAddress: 1 Sophia Road #05-10 Peace Centre , Singapore 228149 Tel: 63392293		Fax: 	Email: chrileow68@hotmail.comSupervisor: Christina Leow Tze Hao (Mdm)		Main Curriculum: INFORMATION TECHNOLOGY"
191,"Lewin Education CentreAddress: Blk 535 Hougang Street 52 #B1-14  , Singapore 530535 Tel: 63868867		Fax: 63868861	Email: lewin2@singnet.com.sgSupervisor: Tay Delphine (Mdm)		Main Curriculum: TUTORIAL"
192,"Lexue Learning CentreAddress: Blk 615 Elias Road #01-102  , Singapore 510615 Tel: 65811556		Fax: 65811556	Email: lexuechineselearningcentre@gmail.comSupervisor: Bian Jie (Mdm)		Main Curriculum: TUTORIAL"
193,"LGM Tutorial CentreAddress: 55 Lorong L Telok Kurau #03-67 Bright Centre , Singapore 425500 Tel: 64400895		Fax: 	Email: info@thelittlegreymatter.com.sgSupervisor: Neo Kimmy (Miss)		Main Curriculum: TUTORIAL"
194,"Li Ming Training CentreAddress: Blk 86 Marine Parade Central #04-314  , Singapore 440086 Tel: 63457740		Fax: 	Email: Supervisor: Chiew Jiar Sing		Main Curriculum: LINGUISTICS"
195,"Liang You Language SchoolAddress: 1 Goldhill Plaza #03-15 Podium Block , Singapore 308899 Tel: 63566642		Fax: 63561678	Email: Supervisor: Chua Boon Hor		Main Curriculum: LINGUISTICS"
196,"Liberal Arts Education CentreAddress: 19 Jalan Masjid #01-01  , Singapore 418945 Tel: 91706103		Fax: 	Email: info@boya.sgSupervisor: Liu Tao (Dr)		Main Curriculum: TUTORIAL"
197,"Lighthouse Japanese Tutorial CentreAddress: 321 Orchard Road #09-05/06/07 Orchard Shopping Centre , Singapore 238866 Tel: 67344616		Fax: 67342351	Email: lighthouse_sg@singnet.com.sgSupervisor: Naoki Miyashita		Main Curriculum: TUTORIAL"
198,"Lil' But Mighty Education CentreAddress: (Main) Blk 431 Clementi Avenue 3 #01-326  , Singapore 120431 Tel: 83116157		Fax: 	Email: enquiries@lilbutmightyenglish.comSupervisor: Pang Lily (Mdm)		Main Curriculum: TUTORIAL"
199,"Lil' But Mighty Education CentreAddress: 144 Upper Bukit Timah Road #03-31 Beauty World Centre , Singapore 588177 Tel: 83116157		Fax: 	Email: enquiries@lilbutmightyenglish.comSupervisor: Pang Lily (Mdm)		Main Curriculum: TUTORIAL"
200,"Lil' But Mighty Education CentreAddress: Blk 211 Hougang Street 21 #01-305 (2nd Storey)  , Singapore 530211 Tel: 66441573		Fax: 	Email: enquiries@lilbutmightyenglish.comSupervisor: Pang Lily (Mdm)		Main Curriculum: TUTORIAL"
201,"Linda's Education House (AMK)Address: Blk 408 Ang Mo Kio Avenue 10 #01-779  , Singapore 560408 Tel: 64551989		Fax: 62819011	Email: Supervisor: Chan Mei Chin, Linda (Miss)		Main Curriculum: TUTORIAL"
202,"Lingo School of KnowledgeAddress: 87 Beach Road #03-01 Chye Sing Building , Singapore 189695 Tel: 62533320		Fax: 63522290	Email: info@lingo.com.sgSupervisor: Ling Yen Wei		Main Curriculum: TUTORIAL"
203,"Literacy Circle Learning Centre (Bedok)Address: Blk 209 New Upper Changi Road #03-647  , Singapore 460209 Tel: 62448548		Fax: 62448522	Email: owner.bedok@literacycircle.comSupervisor: Tan Seow Gek (Mdm)		Main Curriculum: ENRICHMENT"
204,"LiteracyPlus Enrichment CentreAddress: Blk 41 Holland Drive #01-21  , Singapore 270041 Tel: 67772468		Fax: 67772460	Email: Edward@literacyplus.com.sgSupervisor: Lee Hing Yun, Edward		Main Curriculum: ENRICHMENT"
205,"Little Art Bug WorkshopAddress: 51 Waterloo Street #02-04/05  , Singapore 187969 Tel: 63419017		Fax: 63381928	Email: info@littleartbug.comSupervisor: Walker, Fiona Jean (Ms)		Main Curriculum: ENRICHMENT"
206,"Little Gems Chinese Learning CentreAddress: 271 Bukit Timah Road #04-04 Balmoral Plaza , Singapore 259708 Tel: 67370106		Fax: 68753135	Email: littlegemschinese@yahoo.comSupervisor: Yan Xinyu (Mdm)		Main Curriculum: ENRICHMENT"
207,"Little Gems Learning CentreAddress: 271 Bukit Timah Road #02-10 Balmoral Plaza , Singapore 259708 Tel: 67370106		Fax: 68753135	Email: littlegemschinese@yahoo.comSupervisor: Yan Xinyu (Mdm)		Main Curriculum: ENRICHMENT"
208,"Little Lories Learning HubAddress: Blk 517 Jurong West Street 52 #01-83  , Singapore 640517 Tel: 65696657		Fax: 	Email: indhu_jaya@yahoo.comSupervisor: Chandrasekaran Indhumathi (Dr)		Main Curriculum: ENRICHMENT"
209,"Little Mandarins Language CentreAddress: Blk 71 Loewen Road #01-03/04  , Singapore 248847 Tel: 64738377		Fax: 64794855	Email: admin@little-mandarins.comSupervisor: Oen Geok Leng (Mdm)		Main Curriculum: ENRICHMENT"
210,"Little Scholars AcademyAddress: 231 Mountbatten Road #01-04 Block F , Singapore 397999 Tel: 62423403		Fax: 62423402	Email: scholar@littlescholars.com.sgSupervisor: Ang Kai Shin (Mdm)		Main Curriculum: TUTORIAL"
211,"Little Sparkler Learning CentreAddress: 30 Woodlands Avenue 1 #02-05A The Woodgrove , Singapore 739065 Tel: 68939321		Fax: 68939321	Email: gail@littlesparkler.comSupervisor: Lam Li Sze (Mdm)		Main Curriculum: ENRICHMENT"
212,"Little Sparks Montessori and Enrichment CentreAddress: 20 Siglap Drive #01-06 Bowmont Centre , Singapore 456192 Tel: 68760198		Fax: 	Email: Supervisor: Tan Hwee Ling (Mdm)		Main Curriculum: ENRICHMENT"
213,"Little Star Language CentreAddress: Blk 603 Clementi West Street 1 #01-32  , Singapore 120603 Tel: 67738570		Fax: 65696478	Email: wz4112@singnet.com.sgSupervisor: Wang Xiaobin		Main Curriculum: LINGUISTICS"
214,"Little Star Language Centre (Telok Blangah)Address: Blk 35 Telok Blangah Rise #01-281  , Singapore 090035 Tel: 62707528		Fax: 62707528	Email: wz4112@singnet.com.sgSupervisor: Wang Xiaobin		Main Curriculum: LINGUISTICS"
215,"LizBox Education CentreAddress: Blk 639 Pasir Ris Drive 1 #01-536  , Singapore 510639 Tel: 65852840		Fax: 65852570	Email: Supervisor: Yeo Bee Kah (Mdm)		Main Curriculum: TUTORIAL"
216,"LizBox Tutorial Centre (AMK Branch)Address: Blk 163 Ang Mo Kio Avenue 4 #01-466  , Singapore 560163 Tel: 64555685		Fax: 64554421	Email: elise@lizbox.com.sgSupervisor: Yeo Bee Kah (Mdm)		Main Curriculum: TUTORIAL"
217,"Loh Sheng Tuition CentreAddress: 111 North Bridge Road #05-05 Peninsula Plaza , Singapore 179098 Tel: 63344352		Fax: 	Email: loh_sheng_tuition@yahoo.com.sgSupervisor: Loh Hui Ling (Miss)		Main Curriculum: TUTORIAL"
218,"Lorna Whiston School of English Language [fka Lorna Whiston Academy]Address: 101 Thomson Road #03-13/19 United Square #04-20/21/22 [fka #04-23/24/25], Singapore 307591 Tel: 62537688		Fax: 63550978	Email: unitedsquare@lornawhiston.com.sgSupervisor: Tan Chu Ai Kym (Mdm)		Main Curriculum: ENRICHMENT"
219,"Lorna Whiston School of Speech & Drama [fka Lorna Whiston Speech & Drama Centre]Address: 101 Thomson Road #04-20/21/22 United Square , Singapore 307591 Tel: 62537688		Fax: 63550978	Email: speechanddrama@lornawhiston.com.sgSupervisor: Tan Chu Ai Kym (Mdm)		Main Curriculum: LINGUISTICS"
220,"Loshberry CampusAddress: 587 Bukit Timah Road #03-30 Coronation Plaza , Singapore 269707 Tel: 91070962		Fax: 	Email: hello@loshberrycodestudio.comSupervisor: Tay Hwee Shan (Miss)		Main Curriculum: ENRICHMENT"
221,"Lotus Bridge Education SchoolAddress: (Main) 101 Kitchener Road #01-37 Jalan Besar Plaza #01-02, Singapore 208511 Tel: 62914875		Fax: 	Email: hjinder@gmail.comSupervisor: Harjinder Kaur d/o Bachint Singh (Dr)		Main Curriculum: TUTORIAL"
222,"Lotus Bridge Education SchoolAddress: 200 Jurong East Avenue 1 #01-09  , Singapore 609789 Tel: 62644872		Fax: 	Email: lotusbridgeschool@gmail.comSupervisor: Harjinder Kaur d/o Bachint Singh (Dr)		Main Curriculum: TUTORIAL"
223,"Lovely Land Enrichment & Tuition CentreAddress: Blk 58 Lengkok Bahru #01-511  , Singapore 150058 Tel: 64737094		Fax: 63994510	Email: lovelyland@kayctan.comSupervisor: Tan Kay Cheong		Main Curriculum: TUTORIAL"
224,"Lowrey Music SchoolAddress: c/o Blk 473 Tampines Street 43 #01-92  , Singapore 520473 Tel: 67833611		Fax: 	Email: Supervisor: Chao Heck Chio		Main Curriculum: FINE ARTS"
225,"Lowrey Music School (Serangoon Branch)Address: Blk 265 Serangoon Central Drive #03-271  , Singapore 550265 Tel: 62802645		Fax: 	Email: Supervisor: Chao Heck Chio		Main Curriculum: FINE ARTS"
226,"Lulele Learning SpaceAddress: 406 Joo Chiat Place #03-27  , Singapore 428084 Tel: 69095636		Fax: 	Email: kunfung@luminaries-asia.comSupervisor: Lee Kuan Fung (Ms)		Main Curriculum: ENRICHMENT"
227,"Lynn Tuition CentreAddress: Blk 482 Pasir Ris Dr 4 #B1-395  , Singapore 510482 Tel: 65813089		Fax: 	Email: enquiries@lynntuitioncentre.comSupervisor: Wong Ju Ping		Main Curriculum: TUTORIAL"
228,"Lynn Tuition Centre (AMK) [fka Bean Sprouts Learning Hub]Address: Blk 342 Ang Mo Kio Avenue 1 #03-1563B  , Singapore 560342 Tel: 64556996		Fax: 	Email: enquiries@lynntuitioncentre.comSupervisor: Wong Ju Ping		Main Curriculum: TUTORIAL"
229,"Lynn Tuition Centre (Tampines)Address: Blk 472 Tampines Street 44 #01-71  , Singapore 520472 Tel: 67863533		Fax: 67863433	Email: enquiries@lynntuitioncentre.comSupervisor: Wong Ju Ping		Main Curriculum: TUTORIAL"
230,"Mac's Music SchoolAddress: 583 Orchard Road #12-02 Forum Galleria , Singapore 238884 Tel: 67389963		Fax: 67388059	Email: admin@macsmusicschool.comSupervisor: Chang Theng Peo		Main Curriculum: FINE ARTS"
231,"Magnify Studios for MusicAddress: Blk 150A Bishan Street 11 #01-175  , Singapore 571150 Tel: 69883181		Fax: 	Email: hello@magnifystudios.sgSupervisor: Seow Fu Shen, Michael		Main Curriculum: FINE ARTS"
232,"Mainspring Learning CentreAddress: (Main) Blk 466A Sembawang Drive #02-315 Spring Lodge , Singapore 751466 Tel: 64832760		Fax: 64832760	Email: enquiry@mainspring.com.sgSupervisor: Ho Suz Kheng		Main Curriculum: TUTORIAL"
233,"Mainspring Learning CentreAddress: 70 Punggol Central #01-06 Punggol MRT Station , Singapore 828868 Tel: 64832760		Fax: 64832760	Email: enquiry@mainspring.com.sgSupervisor: Ho Suz Kheng		Main Curriculum: TUTORIAL"
234,"Making Sense Learning CentreAddress: 116 Middle Road #09-02 ICB Enterprise House , Singapore 188972 Tel: 94756362		Fax: 	Email: william@makingsense-sg.comSupervisor: Lin Xijie		Main Curriculum: TUTORIAL"
235,"Mandeville Music SchoolAddress: c/o 101 Thomson Road #03-21 United Square , Singapore 307591 Tel: 62501911/62515505		Fax: 62503216	Email: artistes@pacific.net.sgSupervisor: Yap Shu Mei (Mdm)		Main Curriculum: FINE ARTS"
236,"MANHATTAN English Language StudioAddress: 164B Rochor Road  , Singapore 188439 Tel: 68373202		Fax: 	Email: info@manhattan.com.sgSupervisor: Adam William Crook		Main Curriculum: Linguistics"
237,"Manning Music SchoolAddress: Blk 201D Tampines Street 21 #02-1145  , Singapore 524201 Tel: 67811333		Fax: 	Email: Supervisor: Tham Kam Seng		Main Curriculum: FINE ARTS"
238,"Master Class Learning Centre [fka Aphelion Learning Hub]Address: 79 East Coast Road #02-01  , Singapore 428784 Tel: 63444991		Fax: 62811014	Email: admin@mclass.com.sgSupervisor: Ng Yew Kang		Main Curriculum: TUTORIAL"
239,"Mastery Learning CentreAddress: Blk 279 Bishan Street 24 #01-36 (2nd Storey)/#01-52 (2nd Storey)  , Singapore 570279 Tel: 64522535		Fax: 64526835	Email: masterylc@pacific.net.sgSupervisor: Chee Seow Yen (Mdm)		Main Curriculum: TUTORIAL"
240,"Math AcademyAddress: Blk 372 Bukit Batok Street 31 #01-372 (2nd Storey)  , Singapore 650372 Tel: 91529322		Fax: 	Email: enquiry@mathacademy.sgSupervisor: Ang Lay Leng (Mdm)		Main Curriculum: TUTORIAL"
241,"Math Arena Enrichment CentreAddress: Blk 488B Tampines Street 45 #B1-147  , Singapore 521488 Tel: 67819325		Fax: 	Email: admin@matharena.com.sgSupervisor: Phang Sally Persis (Mdm)		Main Curriculum: ENRICHMENT"
242,"Math Mavens Learning CentreAddress: Blk 4 Queen's Road #02-131  , Singapore 260004 Tel: 98302827		Fax: 	Email: twtoon@gmail.comSupervisor: Teo Wee Toon		Main Curriculum: TUTORIAL"
243,"Math Thinker Education HubAddress: 3A Thomson Ridge  , Singapore 574635 Tel: 64551613		Fax: 	Email: maththinker@yahoo.com.sgSupervisor: Lee Huimin, Joyce (Miss)		Main Curriculum: TUTORIAL"
244,"MathConcept Learning Center (SG)Address: 1 Marine Parade Central #08-07 Parkway Centre , Singapore 449408 Tel: 64401348		Fax: 	Email: serenelim@mathconcept.comSupervisor: Lim Pei Shuen, Serene (Miss)		Main Curriculum: ENRICHMENT"
245,"Mathelogy Learning HubAddress: Blk 42 Chai Chee Street #01-50  , Singapore 461042 Tel: 91375182		Fax: 	Email: mathelogylh@gmail.comSupervisor: Seow Kheng Puay (Miss)		Main Curriculum: TUTORIAL"
246,"Mathematical Sciences Learning CentreAddress: 46 East Coast Road #10-02 Eastgate , Singapore 428766 Tel: 63466879		Fax: 63444193	Email: mathscicentre@singnet.com.sgSupervisor: Lim Kwee Hoe (Dr)		Main Curriculum: TUTORIAL"
247,"Mathematics Scholars Education CentreAddress: 985 Upper Serangoon Road (2nd Storey)  , Singapore 534731 Tel: 86198200		Fax: 	Email: hr@math-scholars.comSupervisor: Chng Meng Kai		Main Curriculum: TUTORIAL"
248,"Mathlete Learning CentreAddress: 1 Marine Parade Central #08-08 Parkway Centre , Singapore 449408 Tel: 62477817		Fax: 	Email: admin@mathlete.com.sgSupervisor: Lu Yuhan (Ms)		Main Curriculum: ENRICHMENT"
249,"Maths HubAddress: Blk 233 Bukit Batok East Avenue 5 #01-33/35  , Singapore 650233 Tel: 64255448		Fax: 	Email: enquries@mathshub.com.sgSupervisor: Lim Tow Teck, Michael		Main Curriculum: TUTORIAL"
250,"Maths n Science HubAddress: (Main) Blk 57 Lengkok Bahru #01-477  , Singapore 151057 Tel: 65679484		Fax: 	Email: admin@mathshub.com.sgSupervisor: Lim Tow Keong, Anthony		Main Curriculum: ENRICHMENT"
251,"Maths n Science HubAddress: 9 One-North Gateway #01-40 One-North Residences , Singapore 138643 Tel: 66357156		Fax: 	Email: maths.buona.vista@gmail.comSupervisor: Lim Tow Keong, Anthony		Main Curriculum: ENRICHMENT"
252,"Maths Rally SchoolAddress: Blk 347 Bukit Batok Street 34 #01-268  , Singapore 650347 Tel: 91066234		Fax: 	Email: mathsrally@gmail.comSupervisor: Sim Mee Ling (Mdm)		Main Curriculum: TUTORIAL"
253,"Mathvision Enrichment CentreAddress: 19 Tanglin Road #07-01A Tanglin Shopping Centre #05-23/24, #08-01, Singapore 247909 Tel: 84442320		Fax: 	Email: mathvision.com.sg@gmail.comSupervisor: Divesh Ramanlal Shah		Main Curriculum: ENRICHMENT"
254,"Mavis Tutorial CentreAddress: (Main) Blk 204 Hougang Street 21 #03-123  , Singapore 530204 Tel: 62824011		Fax: 62858061	Email: enquiries@mavistutorial.comSupervisor: Ng Boon Kwee, Kelvin		Main Curriculum: TUTORIAL"
255,"Mavis Tutorial CentreAddress: 1 Sengkang Square #02-56 Compass One , Singapore 545078 Tel: 63864118		Fax: 	Email: enquiries@mavistutorial.comSupervisor: Ng Boon Kwee, Kelvin		Main Curriculum: TUTORIAL"
256,"Mavis Tutorial CentreAddress: 10 Sengkang Central #01-03 Buangkok MRT Station , Singapore 545061 Tel: 68860768		Fax: 	Email: enquiries@mavistutorial.comSupervisor: Ng Boon Kwee, Kelvin		Main Curriculum: TUTORIAL"
257,"Mavis Tutorial CentreAddress: 10 Tampines Central 1 #04-03 Tampines One , Singapore 529536 Tel: 67868718		Fax: 	Email: enquiries@mavistutorial.comSupervisor: Ng Boon Kwee, Kelvin		Main Curriculum: TUTORIAL"
258,"Mavis Tutorial CentreAddress: 33 Sengkang West Avenue #B1-01 The Seletar Mall , Singapore 797653 Tel: 63416828		Fax: 	Email: enquiries@mavistutorial.comSupervisor: Ng Boon Kwee, Kelvin		Main Curriculum: TUTORIAL"
259,"Mavis Tutorial CentreAddress: Blk 118 Rivervale Drive #02-05 & #02-09/11 Rivervale Plaza , Singapore 540118 Tel: 68819071		Fax: 	Email: enquiries@mavistutorial.comSupervisor: Ng Boon Kwee, Kelvin		Main Curriculum: TUTORIAL"
260,"Mavis Tutorial CentreAddress: Blk 158 Bukit Batok Street 11 #02-216 & #02-218  , Singapore 650158 Tel: 65675623		Fax: 	Email: enquiries@mavistutorial.comSupervisor: Ng Boon Kwee, Kelvin		Main Curriculum: TUTORIAL"
261,"Mavis Tutorial CentreAddress: Blk 253 Choa Chu Kang Avenue 1 #01-14 Keat Hong Shopping Centre , Singapore 680253 Tel: 67633676		Fax: 	Email: enquiries@mavistutorial.comSupervisor: Ng Boon Kwee, Kelvin		Main Curriculum: TUTORIAL"
262,"Mavis Tutorial CentreAddress: Blk 739 Bedok Reservoir Road #02-3141  , Singapore 4707739 Tel: 62418145		Fax: 	Email: enquiries@mavistutorial.comSupervisor: Ng Boon Kwee, Kelvin		Main Curriculum: TUTORIAL"
263,"Mavis Tutorial CentreAddress: Blk 888 Woodlands Drive 50 #02-733 888 Plaza , Singapore 730888 Tel: 63622207		Fax: 	Email: enquiries@mavistutorial.comSupervisor: Ng Boon Kwee, Kelvin		Main Curriculum: TUTORIAL"
264,"Mavis Tutorial CentreAddress: 1 Marine Parade Central #08-04 Parkway Centre , Singapore 449408 Tel: 63443093		Fax: 	Email: enquiries@mavistutorial.comSupervisor: Ng Boon Kwee, Kelvin		Main Curriculum: TUTORIAL"
265,"Mavis Tutorial CentreAddress: Block 168 Punggol Field #04-07  , Singapore 820168 Tel: 63438596		Fax: 	Email: enquiries@mavistutorial.comSupervisor: Ng Boon Kwee, Kelvin		Main Curriculum: TUTORIAL"
266,"Max Tuition CentreAddress: Blk 151 Bukit Batok Street 11 #04-248  , Singapore 650151 Tel: 68998422		Fax: 	Email: max@maxtc.com.sgSupervisor: Foong Zi Liang		Main Curriculum: TUTORIAL"
267,"MAXIMATH Education CenterAddress: 587 Bukit Timah Road #03-31 Coronation Plaza , Singapore 269707 Tel: 96499318		Fax: 	Email: guojiayu@yahoo.comSupervisor: Guo Jiayu		Main Curriculum: TUTORIAL"
268,"McKaylan Tutorial CentreAddress: Blk 211 Serangoon Avenue 4 #01-10  , Singapore 550211 Tel: 62840208		Fax: 	Email: janpang77@yahoo.comSupervisor: Tung Ah Noi, Margaret (Mdm)		Main Curriculum: TUTORIAL"
269,"Mdm Theo Learning SpaceAddress: Blk 352 Clementi Avenue 2 #01-113  , Singapore 120352 Tel: 67796751		Fax: 	Email: theobeeleng@@gmail.comSupervisor: Theo Bee Leng (Mdm)		Main Curriculum: TUTORIAL"
270,"MegaForte Learning CentreAddress: Blk 283 Bishan Street 22 #01-195 (Level 2)  , Singapore 570283 Tel: 67463213		Fax: 67463215	Email: mfc@pacific.net.sgSupervisor: Ong Siok Hoon, Janice (Mdm)		Main Curriculum: ENRICHMENT"
271,"Megaphonics & Enrichment CentreAddress: Blk 637 Bukit Batok Central #01-12 (2nd Storey)  , Singapore 650637 Tel: 65691757		Fax: 65691757	Email: megaphonicsctr@gmail.comSupervisor: Rajendran Porchselvi (Mdm)		Main Curriculum: ENRICHMENT"
272,"Melody Music CenterAddress: Blk 64 Circuit Road #01-337  , Singapore 370064 Tel: 67292254		Fax: 	Email: melodymusiccenter@gmail.comSupervisor: Phang Yik San (Miss)		Main Curriculum: FINE ARTS"
273,"Mercu Learning PointAddress: (Main) 150 Changi Road #04-06/07 Guthrie Building , Singapore 419973 Tel: 63468301		Fax: 63461172	Email: enquiry@merculearning.comSupervisor: Mohd Anuar bin Md Yusop		Main Curriculum: TUTORIAL"
274,"Mercu Learning PointAddress: 1 Pasir Ris Drive 4 #05-11  , Singapore 519457 Tel: 64163964		Fax: 65830132	Email: azman@merculearning.comSupervisor: Mohd Anuar bin Md Yusop		Main Curriculum: TUTORIAL"
275,"Merritt Education CentreAddress: Blk 279 Bukit Batok East Avenue 3 #02-339  , Singapore 650279 Tel: 65691783		Fax: 65691783	Email: Supervisor: Long Chee Kit Edward		Main Curriculum: TUTORIAL"
276,"Metamorphosis Education CentreAddress: Blk 342 Ang Mo Kio Avenue 1 #03-1563A  , Singapore 560342 Tel: 64560400		Fax: 	Email: fondrachua@hotmail.comSupervisor: Chua Fong Hua (Miss)		Main Curriculum: TUTORIAL"
277,"Methodist School of MusicAddress: 496 Upper Bukit Timah Road #03-20 Block 1 , Singapore 678099 Tel: 67675258		Fax: 67674082	Email: msm@msmusic.edu.sgSupervisor: Chow Kok Fong		Main Curriculum: FINE ARTS"
278,"Microkid Learning CentreAddress: 5 Stadium Walk #03-05 Leisure Park Kallang , Singapore 397693 Tel: 63455376		Fax: 	Email: syn@hotmail.sgSupervisor: Soh Yian Ngoh (Mdm)		Main Curriculum: ENRICHMENT"
279,"Mighty Thinkers Learning CentreAddress: Blk 153 Bukit Batok Street 11 #03-284  , Singapore 650153 Tel: 68961145		Fax: 65615793	Email: sgp_kelly@yahoo.comSupervisor: Lim Ping Ping (Mdm)		Main Curriculum: ENRICHMENT"
280,"Mighty Tikes Learning CentreAddress: Blk 338 Ang Mo Kio Avenue 1 #01-1647  , Singapore 560338 Tel: 63580383		Fax: 	Email: mtclucytan@gmail.comSupervisor: Tan Lucy (Mdm)		Main Curriculum: TUTORIAL"
281,"Milagros de Montessori SchoolAddress: Blk 21 Queen's Close #01-141  , Singapore 140021 Tel: 64713677		Fax: 64713677	Email: enquire@milagrosmontessori.comSupervisor: Jilcy Sanjay (Mrs)		Main Curriculum: ENRICHMENT"
282,"Mile Bug Excel In Learning Education CentreAddress: 74 Lorong 27 Geylang  , Singapore 388193 Tel: 67417898		Fax: 67417898	Email: nicholas.phua@gmail.comSupervisor: Phua Yeow Boon, Nicholas		Main Curriculum: TUTORIAL"
283,"Milestones Education CentreAddress: Blk 102 Yishun Avenue 5 #03-127  , Singapore 760102 Tel: 67580482		Fax: 	Email: milestones.edu.ctr@gmail.comSupervisor: Goh-Sevilla Zeus		Main Curriculum: TUTORIAL"
284,"MillePrime Education CentreAddress: 20 Choa Chu Kang Street 52 #04-05/06 Yew Tee Community Building , Singapore 689286 Tel: 67601406		Fax: 67601409	Email: jolintang@milleprime.com.sgSupervisor: Tang Hoon Ling (Mdm)		Main Curriculum: TUTORIAL"
285,"Mind Centre for LearningAddress: Blk 265 Serangoon Central Drive #04-267  , Singapore 550265 Tel: 62855891		Fax: 	Email: all@mindcentre.com.sgSupervisor: Lim Hung Heng		Main Curriculum: TUTORIAL"
286,"Mind Centre for Learning (Bishan)Address: Blk 239 Bishan Street 22 #B1-202  , Singapore 570239 Tel: 87190609		Fax: 63520529	Email: bishan@mindcentre.comSupervisor: Ho Teng Teck		Main Curriculum: TUTORIAL"
287,"Mind Language CentreAddress: Blk 251 Bishan Street 22 #B1-408  , Singapore 570251 Tel: 64515747		Fax: 65532832	Email: Supervisor: Ong Kok Eng		Main Curriculum: LINGUISTICS"
288,"Mind Matters Education CentreAddress: (Main) Blk 900 South Woodlands Drive #05-01 Woodlands Civic Centre , Singapore 730900 Tel: 68938908		Fax: 68913265	Email: enquiry@mindmatters.com.sgSupervisor: Chong Uei Long, David		Main Curriculum: TUTORIAL"
289,"Mind Matters Education CentreAddress: 154 West Coast Road #01-67 West Coast Plaza , Singapore 127371 Tel: 67778395		Fax: 67778424	Email: enquiry@mindmatters.com.sgSupervisor: Chong Uei Long, David		Main Curriculum: TUTORIAL"
290,"Mind On Education Learning CentreAddress: 365 Commonwealth Avenue #02-07/10 Queenstown Community Centre , Singapore 149732 Tel: 64711174		Fax: 	Email: ladfield@gmail.comSupervisor: Chin Chee Wei		Main Curriculum: TUTORIAL"
291,"Mind Stretcher Learning CentreAddress: Blk 510 Bishan Street 13 #03-01  , Singapore 570510 Tel: 62500050		Fax: 	Email: bishan@mindstretcher.comSupervisor: Kuek Chye Seng, Alvin		Main Curriculum: TUTORIAL"
292,"Mind Stretcher Learning Centre (Balmoral)Address: 271 Bukit Timah Road #03-07 Balmoral Plaza , Singapore 259708 Tel: 69043646		Fax: 	Email: balmoral@mindstretcher.comSupervisor: Xiao Xiaozhen (Mdm)		Main Curriculum: TUTORIAL"
293,"Mind Stretcher Learning Centre (Bukit Batok Central)Address: Blk 634, Bukit Batok Central #01-102  , Singapore 650634 Tel: 66128991		Fax: 	Email: bukitbatok@mindstretcher.comSupervisor: Lee Tai Lim		Main Curriculum: TUTORIAL"
